,index,gene,filename,thr,angle,assym,tag
0,0,bmp2,bmp2_st.15_20220503_20220506_embryo12_4_expression,100,-5,0.19500062181320726,bmp2_st.15_20220503_20220506_embryo12
1,8,bmp2,bmp2_st.15_20220503_20220506_embryo13_1_expression,50,3,0.14452405322415562,bmp2_st.15_20220503_20220506_embryo13
2,20,bmp2,bmp2_st.15_20220503_20220506_embryo14_3_expression,97,-5,0.37676831185161896,bmp2_st.15_20220503_20220506_embryo14
3,90,bmp2,bmp2_st.15_20220503_20220506_embryo17_2_expression,109,-5,0.7577302897846852,bmp2_st.15_20220503_20220506_embryo17
4,99,bmp2,bmp2_st.15_20220503_20220506_embryo18_2_expression,69,4,0.5238724287601435,bmp2_st.15_20220503_20220506_embryo18
5,5,bmp2,bmp2_st.15_20220503_20220506_embryo19_1_expression,76,0,0.023667224480038215,bmp2_st.15_20220503_20220506_embryo19
6,9,bmp2,bmp2_st.15_20220503_20220506_embryo20_4_expression,113,4,0.4751870514582379,bmp2_st.15_20220503_20220506_embryo20
7,60,bmp2,bmp2_st.15_20220503_20220506_embryo22_2_expression,76,-5,0.30291211648465943,bmp2_st.15_20220503_20220506_embryo22
8,75,bmp2,bmp2_st.15_20220503_20220506_embryo24_2_expression,104,0,0.05764199170792572,bmp2_st.15_20220503_20220506_embryo24
9,13,bmp2,bmp2_st.15_20220503_20220506_embryo26_2_expression,106,-2,0.2374979900305515,bmp2_st.15_20220503_20220506_embryo26
10,189,bmp2,bmp2_st.15_20220503_20220506_embryo27_1_expression,104,4,0.2712780090337437,bmp2_st.15_20220503_20220506_embryo27
11,25,bmp4,bmp4_st.15_20220416_20220511_embryo12_3_expression,84,0,0.0805555555555556,bmp4_st.15_20220416_20220511_embryo12
12,85,bmp4,bmp4_st.15_20220416_20220511_embryo14_1_expression,68,0,0.2549232439137851,bmp4_st.15_20220416_20220511_embryo14
13,25,bmp4,bmp4_st.15_20220416_20220511_embryo18_1_expression,52,0,0.03344481605351168,bmp4_st.15_20220416_20220511_embryo18
14,31,bmp4,bmp4_st.15_20220416_20220511_embryo24_3_expression,89,-4,0.15268672262729,bmp4_st.15_20220416_20220511_embryo24
15,5,bmp4,bmp4_st.15_20220416_20220511_embryo25_2_expression,100,0,0.192675983436853,bmp4_st.15_20220416_20220511_embryo25
16,39,bmp4,bmp4_st.15_20220416_20220511_embryo9_2_expression,68,4,0.5032710836207922,bmp4_st.15_20220416_20220511_embryo9
17,193,bmp7,bmp7_st.15_20220416_20220510_embryo11_1_expression,119,-2,0.15010183299389002,bmp7_st.15_20220416_20220510_embryo11
18,19,bmp7,bmp7_st.15_20220416_20220510_embryo13_1_expression,78,4,0.3650910428545153,bmp7_st.15_20220416_20220510_embryo13
19,40,bmp7,bmp7_st.15_20220416_20220510_embryo14_2_expression,59,-5,0.2525578394322058,bmp7_st.15_20220416_20220510_embryo14
20,39,bmp7,bmp7_st.15_20220416_20220510_embryo16_1_expression,59,4,0.2616231647634584,bmp7_st.15_20220416_20220510_embryo16
21,79,bmp7,bmp7_st.15_20220416_20220510_embryo17_1_expression,77,4,0.3444747110358536,bmp7_st.15_20220416_20220510_embryo17
22,79,bmp7,bmp7_st.15_20220416_20220510_embryo19_2_expression,79,4,0.9004627929185338,bmp7_st.15_20220416_20220510_embryo19
23,49,bmp7,bmp7_st.15_20220416_20220510_embryo2_2_expression,64,4,0.5794312796208531,bmp7_st.15_20220416_20220510_embryo2
24,102,bmp7,bmp7_st.15_20220416_20220510_embryo22_3_expression,75,-3,0.2402226861517049,bmp7_st.15_20220416_20220510_embryo22
25,0,bmp7,bmp7_st.15_20220416_20220510_embryo24_2_expression,90,-5,0.3080764594454968,bmp7_st.15_20220416_20220510_embryo24
26,0,bmp7,bmp7_st.15_20220416_20220510_embryo6_3_expression,74,-5,0.5015693659761457,bmp7_st.15_20220416_20220510_embryo6
27,9,bmp7,bmp7_st.15_20220416_20220510_embryo7_3_expression,60,4,0.5495846313603323,bmp7_st.15_20220416_20220510_embryo7
28,0,ndr2,ndr2_st.15_202204080_20220411_embryo1_1_expression,63,-5,0.4504280585473626,ndr2_st.15_202204080_20220411_embryo1
29,121,ndr2,ndr2_st.15_202204080_20220411_embryo10_2_expression,62,-4,0.238013698630137,ndr2_st.15_202204080_20220411_embryo10
30,37,ndr2,ndr2_st.15_202204080_20220411_embryo11_3_expression,63,2,0.4374486723241172,ndr2_st.15_202204080_20220411_embryo11
31,219,ndr2,ndr2_st.15_202204080_20220411_embryo12_3_expression,46,4,0.24387939180482776,ndr2_st.15_202204080_20220411_embryo12
32,67,ndr2,ndr2_st.15_202204080_20220411_embryo13_1_expression,31,2,0.32361169987282745,ndr2_st.15_202204080_20220411_embryo13
33,299,ndr2,ndr2_st.15_202204080_20220411_embryo14_2_expression,204,4,0.3309370771312584,ndr2_st.15_202204080_20220411_embryo14
34,4,ndr2,ndr2_st.15_202204080_20220411_embryo15_4_expression,43,-1,0.2426440951229343,ndr2_st.15_202204080_20220411_embryo15
